"activity" "subject" "measure" "averagevalue"
"LAYING" 1 "fbodyaccjerkmeanx" -0.826424748
"LAYING" 1 "fbodyaccjerkmeany" -0.77447170486
"LAYING" 1 "fbodyaccjerkmeanz" -0.8898884898
"LAYING" 1 "fbodyaccjerkstdx" -0.82829556434
"LAYING" 1 "fbodyaccjerkstdy" -0.74303190976
"LAYING" 1 "fbodyaccjerkstdz" -0.8998563584
"LAYING" 1 "fbodyaccmagmean" -0.8297693432
"LAYING" 1 "fbodyaccmagstd" -0.8914423208
"LAYING" 1 "fbodyaccmeanx" -0.8417967728
"LAYING" 1 "fbodyaccmeany" -0.75920150116
"LAYING" 1 "fbodyaccmeanz" -0.8717763478
"LAYING" 1 "fbodyaccstdx" -0.8599396878
"LAYING" 1 "fbodyaccstdy" -0.79073014434
"LAYING" 1 "fbodyaccstdz" -0.8743653502
"LAYING" 1 "fbodybodyaccjerkmagmean" -0.79882326708
"LAYING" 1 "fbodybodyaccjerkmagstd" -0.782304251
"LAYING" 1 "fbodybodygyrojerkmagmean" -0.8773626864
"LAYING" 1 "fbodybodygyrojerkmagstd" -0.8541459406
"LAYING" 1 "fbodybodygyromagmean" -0.8624334464
"LAYING" 1 "fbodybodygyromagstd" -0.8950798666
"LAYING" 1 "fbodygyromeanx" -0.8443637622
"LAYING" 1 "fbodygyromeany" -0.8797312308
"LAYING" 1 "fbodygyromeanz" -0.8261847182
"LAYING" 1 "fbodygyrostdx" -0.8947630668
"LAYING" 1 "fbodygyrostdy" -0.8832369256
"LAYING" 1 "fbodygyrostdz" -0.871549216
"LAYING" 1 "tbodyaccjerkmagmean" -0.82069529988
"LAYING" 1 "tbodyaccjerkmagstd" -0.79129854804
"LAYING" 1 "tbodyaccjerkmeanx" 0.074301077741
"LAYING" 1 "tbodyaccjerkmeany" 0.024199736014
"LAYING" 1 "tbodyaccjerkmeanz" 0.007403560532
"LAYING" 1 "tbodyaccjerkstdx" -0.819405129692
"LAYING" 1 "tbodyaccjerkstdy" -0.751169405248
"LAYING" 1 "tbodyaccjerkstdz" -0.8954575936
"LAYING" 1 "tbodyaccmagmean" -0.8238840682
"LAYING" 1 "tbodyaccmagstd" -0.8531490304
"LAYING" 1 "tbodyaccmeanx" 0.2832948778
"LAYING" 1 "tbodyaccmeany" -0.01784790459
"LAYING" 1 "tbodyaccmeanz" -0.10746959714
"LAYING" 1 "tbodyaccstdx" -0.8542722118
"LAYING" 1 "tbodyaccstdy" -0.770280181888
"LAYING" 1 "tbodyaccstdz" -0.8669984586
"LAYING" 1 "tbodygyrojerkmagmean" -0.8694315024
"LAYING" 1 "tbodygyrojerkmagstd" -0.862507583
"LAYING" 1 "tbodygyrojerkmeanx" -0.1039743352
"LAYING" 1 "tbodygyrojerkmeany" -0.035442768338
"LAYING" 1 "tbodygyrojerkmeanz" -0.065255254094
"LAYING" 1 "tbodygyrojerkstdx" -0.8262858514
"LAYING" 1 "tbodygyrojerkstdy" -0.8865863788
"LAYING" 1 "tbodygyrojerkstdz" -0.8362604122
"LAYING" 1 "tbodygyromagmean" -0.8356232038
"LAYING" 1 "tbodygyromagstd" -0.866192645
"LAYING" 1 "tbodygyromeanx" -0.0260431693048
"LAYING" 1 "tbodygyromeany" -0.0961849746
"LAYING" 1 "tbodygyromeanz" 0.11321495702
"LAYING" 1 "tbodygyrostdx" -0.8825146018
"LAYING" 1 "tbodygyrostdy" -0.8812620644
"LAYING" 1 "tbodygyrostdz" -0.848999291
"LAYING" 1 "tgravityaccmagmean" -0.8238840682
"LAYING" 1 "tgravityaccmagstd" -0.8531490304
"LAYING" 1 "tgravityaccmeanx" -0.097026802
"LAYING" 1 "tgravityaccmeany" 0.4411038476
"LAYING" 1 "tgravityaccmeanz" 0.48312226658
